event_id,substation_id,report_date,problem_en,event_description_en,possible_anomaly_start,possible_anomaly_end,training_start,training_end,efd_possible,fault_label,monitoring_potential,manufacturer
11,4,2016-11-18 15:13:00,no heat,Control apparently defective/non-functional. Motorised control valve heating seems defective. ,2016-04-18 10:00:00,2016-11-19 15:13:00,,,False,Motorised control valve (primary side): Actuator defective,3.4,manufacturer 1
60,4,2015-03-18 18:54:00,no heat,No heat and hot water below 60°C! Heat curve parameters increased.,2015-03-17 13:00:00,2015-03-19 18:54:00,,,False,Control unit: Incorrect parameterisation,4,manufacturer 1
64,6,2019-04-16 09:41:00,other,Differential pressure regulator defective and replaced.,2019-04-13 06:00:00,2019-04-17 10:49:46,2019-03-13 09:10:00,2019-04-02 09:41:00,True,Differential pressure regulator defective,3.2,manufacturer 1
36,7,2015-04-02 20:05:00,not enough heat,Radiator heats up too slowly. Heating curve increased.,,2015-04-03 20:05:00,,,False,Control unit: Incorrect parameterisation,4,manufacturer 1
63,7,2015-03-26 07:15:00,not enough heat,Control parameters updated (increased flow temperature).,,2015-04-03 20:05:00,,,False,Control unit: Incorrect parameterisation,4,manufacturer 1
67,7,2017-11-26 13:15:00,no DHW,"Flow temperature 60 degrees, return temperature 28 degrees; water was only slighlty warm. Defective DHW control valve replaced.",2017-04-23 01:00:00,2017-11-27 13:15:00,2015-04-12 00:00:00,2017-04-11 00:00:00,True,Motorised control valve (primary side) defective,3.4,manufacturer 1
44,8,2018-04-27 08:15:00,no DHW,No hot water. Thermostat defective and replaced.,2018-04-26 06:00:00,2018-04-30 09:45:07,2015-09-24 18:00:00,2018-04-13 08:15:00,True,Temperature monitor/controller defective,3,manufacturer 1
57,9,2020-02-24 21:13:00,no heat,Differential pressure regulator made operational again.,2020-02-24 17:45:00,2020-02-25 18:11:43,2015-02-26 14:00:00,2020-02-10 21:13:00,True,Differential pressure regulator defective,3.2,manufacturer 1
1,10,2014-05-04 14:44:00,no DHW,No hot water. Actuator (DHW system) replaced.,2014-05-03 16:00:00,2014-05-05 04:00:00,2012-03-28 09:00:00,2014-04-20 14:44:00,True,Motorised control valve (primary side): Actuator defective,3.4,manufacturer 1
5,11,2018-11-23 08:30:00,no heat,Pump settings updated.,,2018-11-26 09:56:59,2015-02-20 14:00:00,2018-11-09 08:30:00,True,Failure of the heating circuit pump,3.8,manufacturer 1
20,11,2018-07-02 10:49:00,no DHW,"Presumably, so much water was added from the other side that the safety valve on the system opened and flooded the basement.",2018-06-29 05:00:00,2018-07-02 19:02:04,2015-02-25 14:00:00,2018-06-18 10:49:00,True,"Safety relief valve: Water loss, does not close properly",2,manufacturer 1
65,11,2019-01-14 11:58:00,leakage,Strainer leaking. Sealed.,,2019-01-14 20:29:40,2016-12-31 11:58:00,2018-12-31 11:58:00,True,Leakage,1.75,manufacturer 1
