column,ko_name,description,usage_note
substation_id,내부 변전소/서브스테이션 ID,모델 데이터의 익명화된 substation 번호입니다.,Agent와 화면 카드가 참조하는 내부 키로 사용합니다.
matched_name,표시 단지명,지도와 화면에 표시할 아파트/단지명입니다.,사용자가 알아볼 이름으로 사용합니다.
kapt_code,K-APT 단지 코드,공동주택관리정보시스템의 단지 식별자입니다.,K-APT 기본정보/관리비/단지정보 조인 키로 사용합니다.
kapt_bjd_code,K-APT 법정동 코드,K-APT에서 제공하는 법정동 코드입니다.,행정구역 기반 조인이나 필터링에 사용합니다.
kakao_place_id,Kakao 장소 ID,Kakao Map place search에서 얻은 장소 식별자입니다.,프론트 지도 또는 장소 상세 연결에 사용할 수 있습니다.
life_zone,생활권 번호,세종 생활권 기반 후보 구분값입니다.,같은 공급권역에 가까운 데모 매핑 그룹으로 사용합니다.
dong,행정동/법정동명,단지가 위치한 동 이름입니다.,지도 필터와 지역 설명에 사용합니다.
village,마을명,세종시 생활권 내 마을 브랜드명입니다.,인접 단지 그룹 비교에 사용합니다.
road_address,도로명주소,단지의 도로명 주소입니다.,지도 표기와 외부 API 주소 조인에 사용합니다.
jibun_address,지번주소,단지의 지번 주소입니다.,주소 매칭 보조값으로 사용합니다.
latitude,위도,지도 표시용 위도입니다.,프론트 지도 마커 좌표로 사용합니다.
longitude,경도,지도 표시용 경도입니다.,프론트 지도 마커 좌표로 사용합니다.
heating_type,K-APT 난방방식,K-APT 기본정보에서 조회한 난방방식입니다.,31개 모두 지역난방으로 검증된 핵심 컬럼입니다.
kapt_complex_type,K-APT 단지분류,K-APT의 단지 유형입니다.,아파트/주상복합 등 건물 유형 구분에 사용합니다.
approval_date,사용승인일,단지 사용승인일입니다.,건물 연식에 따른 열수요 민감도 대리 지표로 사용할 수 있습니다.
household_count,세대수,K-APT 기준 세대수입니다.,영향 세대 수와 열수요 규모 대리 지표로 사용합니다.
building_count,동수,K-APT 기준 건물 동 수입니다.,단지 규모 대리 지표로 사용합니다.
gross_floor_area_m2,연면적 제곱미터,K-APT 기준 단지 연면적입니다.,열수요 규모를 추정하는 핵심 대리 지표입니다.
exclusive_residential_area_m2,주거전용면적 제곱미터,K-APT 기준 주거전용면적 합계입니다.,실거주 난방 수요 규모 대리 지표로 사용합니다.
exclusive_area_households_json,전용면적 구간별 세대수,K-APT 기준 면적 구간별 세대수 JSON입니다.,소형/중형/대형 세대 구성에 따른 수요 특성 설명에 사용합니다.
fee_year,관리비 기준연도,K-APT 관리비 대시보드 요약의 기준연도입니다.,관리비 지표의 시간 기준 확인용입니다.
