card_file,card_role,column_order,column_name,category,model_origin,is_final_agent_contract,is_m1_standalone_evidence,usage_note
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,1,manufacturer,기본 key / 설비 식별,metadata / window key,Y,N,행 식별과 화면 표시 key
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,2,substation_id,기본 key / 설비 식별,metadata / window key,Y,N,행 식별과 화면 표시 key
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,3,window_start,기본 key / 설비 식별,metadata / window key,Y,N,행 식별과 화면 표시 key
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,4,window_end,기본 key / 설비 식별,metadata / window key,Y,N,행 식별과 화면 표시 key
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,5,configuration_type,기본 key / 설비 식별,metadata / window key,N,N,행 식별과 화면 표시 key
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,6,label,검증 라벨 / 보고용 ground truth,검증 라벨 전용,N,N,보고/평가 전용이며 운영 추론 입력으로 사용하지 않음
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,7,fault_label,검증 라벨 / 보고용 ground truth,검증 라벨 전용,N,N,보고/평가 전용이며 운영 추론 입력으로 사용하지 않음
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,8,fault_event_id,검증 라벨 / 보고용 ground truth,검증 라벨 전용,N,N,보고/평가 전용이며 운영 추론 입력으로 사용하지 않음
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,9,anomaly_ensemble_score,Anomaly evidence / M1 anomaly 모델,M1 anomaly 모델,N,N,정상 패턴 이탈 근거이며 단독 fault classifier가 아님
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,10,anomaly_policy_score,Anomaly evidence / M1 anomaly 모델,M1 anomaly 모델,N,N,정상 패턴 이탈 근거이며 단독 fault classifier가 아님
output/agent_priority_card.csv; output/agent/m1_agent_priority_card.csv,final_hybrid_agent_card,11,iforest_score_ratio,Anomaly evidence / M1 anomaly 모델,M1 anomaly 모델,N,N,정상 패턴 이탈 근거이며 단독 fault classifier가 아님
