Event ID;substation ID;Report date;Problem EN;Event description EN;Possible anomaly start;Possible anomaly end;Training start;Training end;efd_possible;Fault label;Monitoring potential
1;10;2014-05-04 14:44:00;no DHW;No hot water. Actuator (DHW system) replaced.;2014-05-03 16:00:00;2014-05-05 04:00:00;2012-03-28 09:00:00;2014-04-20 14:44:00;True;Motorised control valve (primary side): Actuator defective;3.4
3;12;2015-12-01 10:56:00;no heat;Control parameters updated.;2015-11-29 12:00:00;2015-12-02 10:56:00;2015-03-01 00:00:00;2015-11-17 10:56:00;True;Control unit: Incorrect parameterisation;4
5;11;2018-11-23 08:30:00;no heat;Pump settings updated.;;2018-11-26 09:56:59;2015-02-20 14:00:00;2018-11-09 08:30:00;True;Failure of the heating circuit pump;3.8
6;21;2016-12-06 13:12:00;not enough heat;The heaters are not getting warm enough. Supply temperature is 44°C at 9°C outdoor temperature. Heating curve increased.;;2016-12-07 13:12:00;2015-11-30 09:00:00;2016-11-22 13:12:00;True;Control unit: Incorrect parameterisation;4
7;26;2020-06-13 10:38:00;no DHW;The needle valve was closed. Readjusted.;2020-06-12 12:00:00;2020-06-14 10:38:00;2018-10-18 13:00:00;2020-05-30 10:38:00;True;Incorrect setting of the differential pressure regulator;3.1
10;30;2020-03-16 15:04:00;leakage;Leakage at joint present. Seal replaced, system back in operation.;2020-03-12 19:00:00;2020-03-22 22:45:31;2019-12-01 00:00:00;2020-03-02 15:04:00;True;Leakage;1.75
11;4;2016-11-18 15:13:00;no heat;Control apparently defective/non-functional. Motorised control valve heating seems defective. ;2016-04-18 10:00:00;2016-11-19 15:13:00;;;False;Motorised control valve (primary side): Actuator defective;3.4
13;24;2016-01-12 12:39:00;not enough heat;"Insufficient heat in the building system; heating circuit 1 shows no cooling and control limits primary side return temperature, probably short circuit in the connected object. Heating circuit 2 is not receiving sufficient volume flow. The pump output has therefore been increased.";;2016-01-13 12:39:00;2015-12-08 10:00:00;2015-12-29 12:39:00;True;Failure of the heating circuit pump;3.8
15;29;2020-03-07 07:59:43;no heat;Secondary heating pump behind storage tank was set to maximum speed. Pump adjusted. Storage tank is being refilled.;2020-03-06 12:00:00;2020-03-08 07:59:43;2019-10-03 07:00:00;2020-02-22 07:59:43;True;Failure of the domestic hot water storage charging pump;3.7
20;11;2018-07-02 10:49:00;no DHW;Presumably, so much water was added from the other side that the safety valve on the system opened and flooded the basement.;2018-06-29 05:00:00;2018-07-02 19:02:04;2015-02-25 14:00:00;2018-06-18 10:49:00;True;Safety relief valve: Water loss, does not close properly;2
23;27;2020-01-20 12:57:00;not enough heat;Flow temperature too low and increased.;;2020-01-21 12:57:00;2019-11-25 00:00:00;2020-01-06 12:57:00;True;Control unit: Incorrect parameterisation;4
24;13;2016-07-20 15:17:00;noise;The pressure of the heating pump was reduced and switched to auto-adapt.;;2016-07-22 04:00:00;2015-03-18 15:00:00;2016-07-06 15:17:00;True;Failure of the heating circuit pump;3.8
29;17;2019-01-09 14:18:00;no heat;Motor control valve does not open.;;2019-01-12 15:20:31;2015-12-02 12:00:00;2018-12-26 14:18:00;True;Motorised control valve (primary side): Control valve jams when closed;3.2
32;21;2019-10-19 10:38:00;not enough heat;Flow temperature too low and increased to 55°C.;;2019-10-23 11:40:23;2017-10-19 10:38:00;2019-10-05 10:38:00;True;Control unit: Incorrect parameterisation;4
34;20;2017-06-07 07:34:00;other;Several warning messages keep appearing: ‘Alarm leak sensor’. Sensor is probably defective.;;2017-06-08 07:34:00;2015-09-21 14:00:00;2017-05-24 07:34:00;True;unknown;unknown
36;7;2015-04-02 20:05:00;not enough heat;Radiator heats up too slowly. Heating curve increased.;;2015-04-03 20:05:00;;;False;Control unit: Incorrect parameterisation;4
37;19;2018-11-21 09:15:00;no heat;Externally controlled, supply temperature limited to 55°C.;;2018-11-22 10:41:58;2016-06-25 00:00:00;2018-11-07 09:15:00;True;Control unit: Incorrect parameterisation;4
38;24;2016-10-24 13:55:00;not enough heat;Needle valve was set too tight and impuls line vented. Water flow normal again.;;2016-10-25 13:55:00;2015-11-20 00:00:00;2016-10-10 13:55:00;True;Incorrect setting of the differential pressure regulator;3.1
40;24;2016-04-07 07:47:00;leakage;Heating safety valve replaced.;2016-04-05 13:00:00;2016-04-08 07:47:00;2015-11-20 00:00:00;2016-03-24 07:47:00;True;Safety relief valve: Water loss, does not close properly;2
44;8;2018-04-27 08:15:00;no DHW;No hot water. Thermostat defective and replaced.;2018-04-26 06:00:00;2018-04-30 09:45:07;2015-09-24 18:00:00;2018-04-13 08:15:00;True;Temperature monitor/controller defective;3
45;31;2020-01-13 15:48:00;leakage;Leak in the heat exchanger. All four screw connections on the heat exchanger tightened.;;2020-01-14 17:57:05;2019-11-28 09:00:00;2019-12-30 15:48:00;True;Heat exchanger: Leakage, external;2
47;28;2020-01-13 10:55:00;no heat;Malfunction in the circulation pump. Heating failed. Pump was blocked and was replaced.;2020-01-08 23:00:00;2020-01-14 10:47:32;2019-10-25 00:00:00;2019-12-30 10:55:00;True;Failure of the heating circuit pump;3.8
49;18;2019-05-04 07:19:00;no DHW;The DHW controller was set to night mode. Reset to automatic.;2019-05-03 11:00:00;2019-05-05 07:19:00;2016-12-16 10:00:00;2019-04-20 07:19:00;True;Control unit: Incorrect parameterisation;4
52;21;2016-12-12 15:55:00;no heat;Optimization of controller parameters led to insufficient supply for heating. Control system reset. Air in circulation for DHW, vented.;2016-12-11 20:00:00;2016-12-13 15:55:00;2015-11-30 09:00:00;2016-11-28 15:55:00;True;Control unit: Incorrect parameterisation;4
53;13;2020-05-26 10:00:00;no DHW;Circulation line was blocked, has been reopened.;2020-05-25 03:00:00;2020-05-27 18:42:13;2016-07-27 15:17:00;2020-05-12 10:00:00;True;Shut-off valve closed;2.8
57;9;2020-02-24 21:13:00;no heat;Differential pressure regulator made operational again.;2020-02-24 17:45:00;2020-02-25 18:11:43;2015-02-26 14:00:00;2020-02-10 21:13:00;True;Differential pressure regulator defective;3.2
60;4;2015-03-18 18:54:00;no heat;No heat and hot water below 60°C! Heat curve parameters increased.;2015-03-17 13:00:00;2015-03-19 18:54:00;;;False;Control unit: Incorrect parameterisation;4
62;21;2019-01-21 08:17:00;not enough heat;Only 40 °C heating supply. Heating curve increased. Controller now reaches 62 degrees supply.;;2019-01-22 00:10:43;2017-01-21 08:17:00;2019-01-07 08:17:00;True;Control unit: Incorrect parameterisation;4
63;7;2015-03-26 07:15:00;not enough heat;Control parameters updated (increased flow temperature).;;2015-04-03 20:05:00;;;False;Control unit: Incorrect parameterisation;4
64;6;2019-04-16 09:41:00;other;Differential pressure regulator defective and replaced.;2019-04-13 06:00:00;2019-04-17 10:49:46;2019-03-13 09:10:00;2019-04-02 09:41:00;True;Differential pressure regulator defective;3.2
65;11;2019-01-14 11:58:00;leakage;Strainer leaking. Sealed.;;2019-01-14 20:29:40;2016-12-31 11:58:00;2018-12-31 11:58:00;True;Leakage;1.75
67;7;2017-11-26 13:15:00;no DHW;"Flow temperature 60 degrees, return temperature 28 degrees; water was only slighlty warm. Defective DHW control valve replaced.";2017-04-23 01:00:00;2017-11-27 13:15:00;2015-04-12 00:00:00;2017-04-11 00:00:00;True;Motorised control valve (primary side) defective;3.4
69;26;2020-03-10 15:49:00;no heat;System checked electrically and mechanically. No defects found.;;2020-03-11 19:31:31;2018-10-18 13:00:00;;True;unknown;unknown
