지표,정의/계산,무엇을 보는가,방향,PPT 해석 주의
정확도,(TP+TN)/전체,전체 정답 비율,높을수록 좋음,불균형 데이터에서는 단독 사용 금지
균형정확도,(재현율+특이도)/2,양성·음성을 같은 비중으로 평가,높을수록 좋음,Risk/이상탐지 핵심 보조지표
정밀도,TP/(TP+FP),발령한 알람 중 실제 고장 비율,높을수록 좋음,현장 불필요 출동과 연결
재현율,TP/(TP+FN),실제 고장 사전구간을 잡은 비율,높을수록 좋음,미탐 비용과 연결
특이도,TN/(TN+FP),정상 구간을 정상으로 유지한 비율,높을수록 좋음,1-FPR
음성예측도(NPV),TN/(TN+FN),정상 판정이 실제 정상일 확률,높을수록 좋음,알람이 없을 때 신뢰성
F1,정밀도와 재현율의 조화평균,오경보와 미탐의 균형,높을수록 좋음,운영비용 차이는 별도 반영
MCC,혼동행렬 4칸의 상관계수,불균형에 강한 단일 요약값,1에 가까울수록 좋음,0은 무작위 수준
Cohen's Kappa,관측 일치-우연 일치 보정,우연을 제외한 분류 일치,1에 가까울수록 좋음,클래스 비율 영향 확인
ROC-AUC,모든 임계값의 TPR-FPR 곡선 면적,순위 분리 능력,높을수록 좋음,불균형에서는 AP와 함께 표시
Average Precision,PR 곡선 요약,희소 양성의 순위 품질,높을수록 좋음,양성 비율을 기준선으로 함께 표시
Brier score,평균 (예측확률-정답)^2,확률의 정확성과 보정,낮을수록 좋음,확률 의미가 있는 출력에만 적용
Log-loss,정답 클래스의 음의 로그확률,확신한 오답을 크게 벌점,낮을수록 좋음,0/1 확률은 clipping 후 계산
ECE-10,10개 확률구간의 신뢰도-정확도 차이,확률 보정 오차,0에 가까울수록 좋음,표본이 작으면 bin별 변동 큼
Macro-F1,클래스별 F1 단순평균,희소 Leadtime 구간까지 동일 가중,높을수록 좋음,3-7d 성능을 숨기지 않음
Weighted-F1,클래스 표본수 가중 F1,전체 체감 성능,높을수록 좋음,다수 클래스 영향 큼
Top-2 정확도,상위 2개 확률에 정답 포함 비율,인접 후보 구간 제공 능력,높을수록 좋음,정확한 1순위와 함께 표시
Bucket MAE,평균 |예측구간 index-정답 index|,Leadtime 구간 거리 오차,낮을수록 좋음,"0-24h,1-3d,3-7d를 0,1,2로 인코딩"
지연 예측률,예측 index가 정답보다 큰 비율,실제보다 여유 있다고 판단한 위험 오차,낮을수록 좋음,조기 예측보다 운영 위험이 큼
Event recall,탐지된 고장이벤트/전체 고장이벤트,같은 고장 창의 중복행을 한 건으로 평가,높을수록 좋음,행 재현율과 반드시 분리
Precision@K,상위 K건 중 양성 비율,제한된 출동/검토 용량의 효율,높을수록 좋음,K=일일 처리 가능량으로 설정
Recall@K,상위 K건이 포착한 양성 비율,처리용량 안에서의 커버리지,높을수록 좋음,Precision@K와 함께 표시
NDCG@K,상위 순위의 graded relevance 할인 누적이득,긴급 고장을 앞에 배치하는 품질,1에 가까울수록 좋음,우선순위 모델 핵심
PSI,기준·비교 분포 비율 차이,점수 분포 이동,낮을수록 좋음,"일반 참고: <0.10 안정, 0.10~0.25 주의, >=0.25 큼"
KS 검정,두 누적분포 최대 차이,분포가 동일한지 통계검정,p<0.05면 이동 의심,표본수가 크면 작은 차이도 유의
Wilson 95% CI,이항비율 신뢰구간,작은 표본의 점수 불확실성,구간이 좁을수록 안정,이벤트 8건 같은 소표본에 필수
