column_name,korean_name,group,meaning,agent_usage,caution
manufacturer,제조사,기본정보,제조사 또는 설비군,설명과 우선순위 판단에 필요한 경우 사용,
substation_id,기계실,기본정보,기계실 또는 설비 ID,설명과 우선순위 판단에 필요한 경우 사용,
window_start,분석 window 시작 시각,기본정보,분석 window 시작 시각,설명과 우선순위 판단에 필요한 경우 사용,
window_end,분석 window 종료 시각,기본정보,분석 window 종료 시각,설명과 우선순위 판단에 필요한 경우 사용,
configuration_type,난방/급탕/서브회로 등 설비 구성,기본정보,난방/급탕/서브회로 등 설비 구성,설명과 우선순위 판단에 필요한 경우 사용,
label,normal,검증,normal 또는 pre_fault 검증 라벨,설명과 우선순위 판단에 필요한 경우 사용,검증용 라벨은 운영 추론 입력으로 사용하지 않음
fault_label,이벤트 설명 라벨,검증,이벤트 설명 라벨,설명과 우선순위 판단에 필요한 경우 사용,검증용 라벨은 운영 추론 입력으로 사용하지 않음
fault_event_id,검증 이벤트 묶음 ID,검증,검증 이벤트 묶음 ID,설명과 우선순위 판단에 필요한 경우 사용,검증용 라벨은 운영 추론 입력으로 사용하지 않음
anomaly_ensemble_score,IsolationForest와 Mahalanobis ratio를 가중합한 참고 이상 점수,Anomaly,IsolationForest와 Mahalanobis ratio를 가중합한 참고 이상 점수,설명과 우선순위 판단에 필요한 경우 사용,
anomaly_policy_score,IF ratio 0.90과 Mahalanobis ratio 1.00 동시 충족 기준의 active 이상 점수,Anomaly,IF ratio 0.90과 Mahalanobis ratio 1.00 동시 충족 기준의 active 이상 점수,설명과 우선순위 판단에 필요한 경우 사용,
iforest_score_ratio,train-normal q99 기준 IsolationForest ratio,Anomaly,train-normal q99 기준 IsolationForest ratio,설명과 우선순위 판단에 필요한 경우 사용,
mahalanobis_score_ratio,train-normal q99 기준 Mahalanobis ratio,Anomaly,train-normal q99 기준 Mahalanobis ratio,설명과 우선순위 판단에 필요한 경우 사용,
anomaly_consensus_count,active threshold를 넘은 detector 개수,Anomaly,active threshold를 넘은 detector 개수,설명과 우선순위 판단에 필요한 경우 사용,
anomaly_criticality,active 이상 점수 초과가 지속될 때 누적되는 counter,Anomaly,active 이상 점수 초과가 지속될 때 누적되는 counter,설명과 우선순위 판단에 필요한 경우 사용,
anomaly_event_label,active policy criticality 기준 최종 anomaly event 여부,Anomaly,active policy criticality 기준 최종 anomaly event 여부,설명과 우선순위 판단에 필요한 경우 사용,
anomaly_evidence_event_label,agent 설명에 쓰는 active anomaly event 여부,Anomaly,agent 설명에 쓰는 active anomaly event 여부,설명과 우선순위 판단에 필요한 경우 사용,
anomaly_evidence_source,active anomaly 근거 출처,Anomaly,active anomaly 근거 출처,설명과 우선순위 판단에 필요한 경우 사용,
risk_probability,기존 best risk 원 확률,Risk,기존 best risk 원 확률,설명과 우선순위 판단에 필요한 경우 사용,
risk_score,priority와 운영 단계에 쓰는 위험 점수,Risk,priority와 운영 단계에 쓰는 위험 점수,설명과 우선순위 판단에 필요한 경우 사용,
risk_level_calibrated,low/medium/high/critical 위험 단계,Risk,low/medium/high/critical 위험 단계,설명과 우선순위 판단에 필요한 경우 사용,
predicted_lead_time_bucket,"0-24h, 1-3d, 3-7d 중 leadtime 참고 구간",Leadtime,"0-24h, 1-3d, 3-7d 중 leadtime 참고 구간",설명과 우선순위 판단에 필요한 경우 사용,
leadtime_urgency_score,leadtime이 가까울수록 커지는 긴급도 점수,Leadtime,leadtime이 가까울수록 커지는 긴급도 점수,설명과 우선순위 판단에 필요한 경우 사용,
current_best_priority_score,기존 best priority score,Priority,기존 best priority score,설명과 우선순위 판단에 필요한 경우 사용,
current_best_priority_level,기존 best priority level,Priority,기존 best priority level,설명과 우선순위 판단에 필요한 경우 사용,
priority_score,최종 agent용 M1 hybrid priority score,Priority,최종 agent용 M1 hybrid priority score,설명과 우선순위 판단에 필요한 경우 사용,
priority_level,최종 agent용 priority level,Priority,최종 agent용 priority level,설명과 우선순위 판단에 필요한 경우 사용,
priority_source,최종 priority 생성 방식,Priority,최종 priority 생성 방식,설명과 우선순위 판단에 필요한 경우 사용,
priority_high_label,최종 등급이 high 이상이면 1,Priority,최종 등급이 high 이상이면 1,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_priority_score,M1 specialist gate 기반 priority score,M1 specialist,M1 specialist gate 기반 priority score,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_priority_level,M1 specialist priority level,M1 specialist,M1 specialist priority level,설명과 우선순위 판단에 필요한 경우 사용,
m1_hybrid_priority_score,current-best와 M1 specialist를 결합한 score,Priority,current-best와 M1 specialist를 결합한 score,설명과 우선순위 판단에 필요한 경우 사용,
m1_hybrid_priority_level,M1 hybrid priority level,Priority,M1 hybrid priority level,설명과 우선순위 판단에 필요한 경우 사용,
m1_priority_agreement,current-best와 M1 specialist 판단 일치 상태,Priority,current-best와 M1 specialist 판단 일치 상태,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_fault_probability,fault gate 확률,M1 specialist,fault gate 확률,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_task_probability,task gate 확률,M1 specialist,task gate 확률,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_activity_probability,activity gate 확률,M1 specialist,activity gate 확률,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_pre_event_probability,pre-event logistic 확률,M1 specialist,pre-event logistic 확률,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_primary_state,specialist가 본 대표 상태,M1 specialist,specialist가 본 대표 상태,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_secondary_tags,보조 상태 tag,M1 specialist,보조 상태 tag,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_fault_group,fault group 후보,M1 specialist,fault group 후보,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_group_weight,fault group 운영 가중치,M1 specialist,fault group 운영 가중치,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_gate_review_required,specialist gate 기준 검토 필요 여부,M1 specialist,specialist gate 기준 검토 필요 여부,설명과 우선순위 판단에 필요한 경우 사용,
m1_specialist_gate_review_reasons,specialist gate 검토 사유,M1 specialist,specialist gate 검토 사유,설명과 우선순위 판단에 필요한 경우 사용,
shadow_priority_score,별도 가중치로 계산한 참고 priority score,설명보조,별도 가중치로 계산한 참고 priority score,설명과 우선순위 판단에 필요한 경우 사용,
priority_policy_agreement,최종 priority와 shadow priority의 등급 일치성,설명보조,최종 priority와 shadow priority의 등급 일치성,설명과 우선순위 판단에 필요한 경우 사용,
operational_label,운영 상태 요약,상태,운영 상태 요약,설명과 우선순위 판단에 필요한 경우 사용,
primary_state,현재 대표 상태,상태,현재 대표 상태,설명과 우선순위 판단에 필요한 경우 사용,
review_required,사람 검토가 필요한지 여부,설명제어,사람 검토가 필요한지 여부,설명과 우선순위 판단에 필요한 경우 사용,
review_reasons,review_required가 켜진 이유 목록,설명제어,review_required가 켜진 이유 목록,설명과 우선순위 판단에 필요한 경우 사용,
trust_level,모델 근거 신뢰 수준,설명제어,모델 근거 신뢰 수준,설명과 우선순위 판단에 필요한 경우 사용,
first_crossing_time,이벤트 구간에서 처음 위험 신호가 켜진 시각,Leadtime,이벤트 구간에서 처음 위험 신호가 켜진 시각,설명과 우선순위 판단에 필요한 경우 사용,
stable_crossing_time,위험 신호가 안정적으로 유지되기 시작한 시각,Leadtime,위험 신호가 안정적으로 유지되기 시작한 시각,설명과 우선순위 판단에 필요한 경우 사용,
stable_crossing_lead_hours,stable crossing이 이벤트보다 몇 시간 앞섰는지,Leadtime,stable crossing이 이벤트보다 몇 시간 앞섰는지,설명과 우선순위 판단에 필요한 경우 사용,
why_reason,주요 판단 근거를 합친 설명 문자열,설명제어,주요 판단 근거를 합친 설명 문자열,설명과 우선순위 판단에 필요한 경우 사용,
recommended_action,현재 상태에 대한 추천 행동 문장,설명제어,현재 상태에 대한 추천 행동 문장,설명과 우선순위 판단에 필요한 경우 사용,
